name,state,city,monthlyIncome,internetUsed,dataPackExpense,foodFuelExpensePercent,hasLoan,familyMembers,childrenCount,childrenStatus,cookingTogether,lpgRefillFrequency,earningMembers,dependentMembers,jobType,emergencyFundSource,facedEmergency,assets,hasLand,ownsVehicle,incomeCycle,savings,awareOfGovtScheme,pastLoanDefault,lpgPreference,lpgChallenges,cylinderPreference,score,risk_category
Person_9809,Gujarat,Gandhinagar,7704,yes,131,51-75%,yes,7,6,not study,yes,1-2 months,4,3,self-employed,savings,yes,fan,no,no,weekly,2742,yes,no,LPG,availability,5kg,584.6153846153845,Medium Risk
Person_7549,Bihar,Gaya,12353,yes,117,51-75%,yes,6,5,not study,no,1-2 months,5,1,part-time,family,yes,mobile,no,yes,daily,3233,no,yes,LPG,distance,14.2kg,446.1538461538462,Medium Risk
Person_5595,Rajasthan,Sikar,11565,yes,56,51-75%,yes,2,0,study,yes,1-2 months,1,1,farmer,savings,no,"mobile,fan",yes,yes,monthly,869,yes,no,LPG,none,5kg,653.8461538461539,Medium Risk
Person 87,Uttar Pradesh,Bareilly,14842,no,100,25-50%,no,7,1,study,no,3-4 months,2,6,domestic-worker,savings,yes,vehicle,no,yes,monthly,500,no,yes,LPG,availability,5kg,307.69230769230774,High Risk
Person_7359,Gujarat,Vadodara,10898,yes,11,0-25%,yes,7,3,not study,yes,<1 month,6,1,farmer,savings,no,"mobile,fan",no,yes,daily,4329,no,no,LPG,cost,5kg,792.3076923076924,Low Risk
Person_3832,Bihar,Muzaffarpur,9699,yes,96,26-50%,no,3,0,not study,no,>2 months,2,1,self-employed,savings,yes,"mobile,tv",no,yes,monthly,2929,yes,yes,LPG,cost,5kg,653.8461538461539,Medium Risk
Person_4846,Jharkhand,Ramgarh,3680,no,158,51-75%,no,3,1,not study,yes,>2 months,1,2,migrant-labour,friends,no,tv,no,yes,monthly,4282,yes,yes,LPG,none,5kg,515.3846153846155,Medium Risk
Person_5090,Jharkhand,Ramgarh,6681,yes,188,0-25%,no,3,0,not study,yes,>2 months,1,2,migrant-labour,family,no,tv,yes,yes,weekly,2514,yes,yes,LPG,availability,14.2kg,584.6153846153845,Medium Risk
Person_7288,Jharkhand,Ranchi,5536,yes,3,26-50%,no,8,3,study,yes,<1 month,5,3,part-time,savings,yes,fan,no,yes,monthly,3232,no,yes,LPG,distance,5kg,515.3846153846155,Medium Risk
Person_2981,Jharkhand,Ranchi,9545,yes,71,0-25%,no,3,1,not study,yes,1-2 months,1,2,farmer,family,no,"mobile,tv",yes,no,monthly,4333,yes,yes,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person_3558,Gujarat,Ahmedabad,6624,yes,86,51-75%,yes,5,1,not study,yes,>2 months,1,4,part-time,family,yes,"mobile,tv",no,yes,daily,2372,no,no,LPG,availability,14.2kg,446.1538461538462,Medium Risk
Person 58,Karnataka,Mangalore,4803,no,100,25-50%,no,3,0,study,no,5-6 months,2,2,labourer,savings,no,vehicle,no,yes,weekly,0,yes,no,LPG,cost,14kg,653.8461538461539,Medium Risk
Person 51,Uttar Pradesh,Agra,7321,yes,200,>75%,no,5,2,study,yes,3-4 months,3,2,daily-wager,savings,no,mobile,yes,no,monthly,200,yes,yes,LPG,cost,5kg,584.6153846153845,Medium Risk
Person 100,Uttar Pradesh,Allahabad,12242,no,100,51-75%,no,5,3,working,yes,3-4 months,2,3,labourer,family,yes,vehicle,no,no,daily,500,no,no,LPG,cost,5kg,446.1538461538462,Medium Risk
Person_2472,Gujarat,Gandhinagar,9337,yes,138,51-75%,no,2,0,study,yes,>2 months,1,1,self-employed,family,yes,none,no,yes,daily,4344,no,yes,LPG,distance,5kg,446.1538461538462,Medium Risk
Person 32,Karnataka,Belgaum,14434,yes,200,25-50%,no,8,1,working,no,1-2 months,1,6,labourer,savings,yes,land,yes,no,monthly,200,no,yes,LPG,cost,14kg,307.69230769230774,High Risk
Person_2860,Bihar,Muzaffarpur,6079,no,187,76-100%,yes,4,1,not study,no,<1 month,1,3,unemployed,friends,no,fan,yes,no,monthly,327,yes,no,LPG,availability,14.2kg,446.1538461538462,Medium Risk
Person_1374,Rajasthan,Alwar,8224,no,141,26-50%,no,7,3,not study,no,1-2 months,5,2,part-time,savings,yes,tv,yes,yes,monthly,1012,yes,no,LPG,cost,14.2kg,723.0769230769231,Low Risk
Person_7288,Jharkhand,Ranchi,5536,yes,3,26-50%,no,8,3,study,yes,<1 month,5,3,part-time,savings,yes,fan,no,yes,monthly,3232,no,yes,LPG,distance,5kg,515.3846153846155,Medium Risk
Person_5971,Rajasthan,Jaipur,11165,yes,183,76-100%,yes,3,1,not study,no,>2 months,2,1,self-employed,family,yes,"mobile,fan",yes,yes,weekly,1321,no,no,LPG,distance,5kg,584.6153846153845,Medium Risk
Person 7,Karnataka,Mysuru,14666,no,0,>75%,no,3,0,study,no,1-2 months,3,0,security-guard,savings,no,vehicle,yes,yes,monthly,0,no,yes,LPG,cost,14kg,584.6153846153845,Medium Risk
Person_7999,Rajasthan,Ajmer,7591,no,38,51-75%,yes,6,1,not study,no,<1 month,5,1,part-time,money-lender,yes,tv,yes,no,monthly,3045,no,no,LPG,availability,14.2kg,446.1538461538462,Medium Risk
Person 82,Uttar Pradesh,Kanpur,8364,no,100,25-50%,yes,6,0,study,yes,5-6 months,3,3,cleaner,none,no,mobile,yes,yes,weekly,200,yes,yes,LPG,availability,5kg,376.92307692307696,High Risk
Person_2473,Bihar,Patna,13556,no,120,76-100%,yes,8,0,study,yes,>2 months,1,7,farmer,savings,yes,mobile,no,no,daily,3903,no,yes,LPG,availability,14.2kg,169.23076923076923,High Risk
Person 88,Karnataka,Mangalore,15523,no,0,51-75%,yes,3,0,working,no,3-4 months,1,1,domestic-worker,savings,no,land,no,yes,weekly,0,no,no,LPG,none,14kg,584.6153846153845,Medium Risk
Person 72,Karnataka,Hubli,4800,no,50,51-75%,yes,7,4,working,no,3-4 months,1,4,driver,none,no,mobile,no,no,daily,1000,yes,yes,LPG,availability,14kg,238.46153846153848,High Risk
Person 22,Uttar Pradesh,Agra,6679,no,100,25-50%,no,5,0,study,yes,3-4 months,3,2,daily-wager,savings,yes,land,no,no,weekly,0,no,no,LPG,cost,14kg,515.3846153846155,Medium Risk
Person 99,Uttar Pradesh,Allahabad,15589,no,200,25-50%,no,3,1,study,yes,3-4 months,3,0,cleaner,savings,no,vehicle,no,yes,weekly,0,no,yes,LPG,cost,14kg,653.8461538461539,Medium Risk
Person 22,Maharashtra,Pune,8926,yes,50,>75%,no,7,0,working,no,1-2 months,2,5,security-guard,family,no,mobile,yes,no,weekly,500,yes,no,LPG,availability,14kg,723.0769230769231,Low Risk
Person_5732,Gujarat,Bhavnagar,7039,no,175,0-25%,yes,4,3,not study,no,>2 months,1,3,unemployed,family,no,mobile,yes,yes,daily,199,no,yes,LPG,availability,14.2kg,238.46153846153848,High Risk
Person_7487,Jharkhand,Deoghar,13088,no,106,26-50%,no,3,0,not study,yes,<1 month,1,2,part-time,savings,yes,"mobile,tv",yes,yes,weekly,1923,yes,no,LPG,distance,5kg,584.6153846153845,Medium Risk
Person_3800,Rajasthan,Alwar,11145,yes,7,76-100%,no,8,6,not study,yes,1-2 months,7,1,self-employed,friends,yes,"mobile,tv",yes,yes,daily,2145,no,no,LPG,availability,5kg,792.3076923076924,Low Risk
Person_4894,Rajasthan,Bikaner,13522,yes,60,26-50%,no,8,3,study,yes,1-2 months,4,4,self-employed,savings,no,none,yes,yes,monthly,3713,yes,no,LPG,none,14.2kg,861.5384615384615,Low Risk
Person_9023,Gujarat,Jamnagar,12330,no,119,51-75%,yes,6,2,not study,yes,>2 months,5,1,farmer,money-lender,yes,"mobile,tv",yes,no,monthly,491,no,yes,LPG,none,14.2kg,238.46153846153848,High Risk
Person_2573,Jharkhand,Jamshedpur,6689,yes,110,51-75%,no,4,1,study,yes,>2 months,2,2,daily-wager,family,yes,none,yes,yes,daily,1957,no,no,LPG,availability,5kg,515.3846153846155,Medium Risk
Person 43,Karnataka,Hubli,15954,yes,100,25-50%,yes,4,1,working,yes,5-6 months,1,1,vendor,none,no,land,yes,yes,daily,0,no,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person 47,Uttar Pradesh,Kanpur,14815,yes,200,<25%,yes,4,2,working,yes,3-4 months,3,3,cleaner,savings,no,mobile,no,yes,monthly,200,no,yes,LPG,cost,5kg,376.92307692307696,High Risk
Person_2006,Bihar,Arrah,4153,no,38,51-75%,yes,4,3,study,yes,<1 month,3,1,part-time,family,yes,fan,yes,yes,daily,2105,yes,yes,LPG,cost,14.2kg,376.92307692307696,High Risk
Person 78,Uttar Pradesh,Kanpur,18927,no,200,25-50%,no,4,1,study,no,1-2 months,1,1,vendor,savings,no,none,yes,no,monthly,0,yes,no,LPG,none,14kg,723.0769230769231,Low Risk
Person 41,Uttar Pradesh,Allahabad,16323,yes,50,<25%,no,3,1,working,yes,3-4 months,2,2,daily-wager,none,yes,mobile,no,no,monthly,0,yes,yes,LPG,cost,5kg,446.1538461538462,Medium Risk
Person 51,Uttar Pradesh,Agra,7321,yes,200,>75%,no,5,2,study,yes,3-4 months,3,2,daily-wager,savings,no,mobile,yes,no,monthly,200,yes,yes,LPG,cost,5kg,584.6153846153845,Medium Risk
Person 51,Uttar Pradesh,Agra,7321,yes,200,>75%,no,5,2,study,yes,3-4 months,3,2,daily-wager,savings,no,mobile,yes,no,monthly,200,yes,yes,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_8643,Jharkhand,Deoghar,12978,no,92,26-50%,yes,5,4,not study,no,1-2 months,1,4,migrant-labour,family,yes,fan,yes,no,daily,1353,yes,yes,LPG,availability,14.2kg,169.23076923076923,High Risk
Person_6160,Rajasthan,Bhilwara,12587,no,154,26-50%,yes,4,2,study,no,<1 month,2,2,daily-wager,savings,no,none,yes,yes,weekly,3418,yes,yes,LPG,distance,14.2kg,446.1538461538462,Medium Risk
Person_9320,Bihar,Muzaffarpur,11358,yes,140,26-50%,yes,8,1,study,yes,<1 month,7,1,farmer,friends,no,"mobile,fan",no,no,monthly,3549,no,yes,LPG,none,5kg,515.3846153846155,Medium Risk
Person_9774,Rajasthan,Jodhpur,7950,no,72,26-50%,no,5,4,not study,no,>2 months,4,1,daily-wager,savings,no,tv,yes,yes,weekly,1638,yes,yes,LPG,none,5kg,584.6153846153845,Medium Risk
Person_5451,Jharkhand,Ramgarh,6898,no,90,76-100%,yes,7,3,study,no,>2 months,2,5,part-time,friends,no,mobile,yes,no,weekly,3265,no,yes,LPG,availability,5kg,238.46153846153848,High Risk
Person_9495,Rajasthan,Jaipur,13691,no,109,26-50%,yes,4,2,not study,yes,>2 months,1,3,part-time,money-lender,yes,none,yes,yes,daily,1041,no,yes,LPG,availability,5kg,169.23076923076923,High Risk
Person 38,Maharashtra,Nashik,9986,no,100,25-50%,yes,5,1,study,yes,3-4 months,1,4,driver,savings,no,mobile,no,yes,monthly,0,yes,no,LPG,cost,14kg,584.6153846153845,Medium Risk
Person_2198,Bihar,Patna,10408,yes,62,51-75%,no,3,2,study,no,>2 months,2,1,part-time,friends,no,none,yes,no,monthly,150,yes,yes,LPG,distance,14.2kg,653.8461538461539,Medium Risk
Person_7342,Rajasthan,Jaipur,5962,no,2,51-75%,yes,5,3,not study,yes,>2 months,3,2,farmer,savings,yes,"mobile,tv",no,no,weekly,3926,yes,no,LPG,none,14.2kg,515.3846153846155,Medium Risk
Person_9461,Rajasthan,Kota,10335,no,122,0-25%,yes,3,1,study,yes,<1 month,2,1,migrant-labour,savings,yes,"mobile,fan",no,yes,monthly,2370,yes,yes,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person 93,Maharashtra,Pune,7117,yes,200,>75%,yes,5,3,study,yes,3-4 months,3,3,labourer,none,no,land,yes,no,daily,0,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person 61,Karnataka,Belgaum,17953,no,200,<25%,no,8,4,working,yes,1-2 months,3,7,daily-wager,family,no,vehicle,no,no,daily,500,yes,yes,LPG,availability,5kg,515.3846153846155,Medium Risk
Person_9106,Rajasthan,Jodhpur,11077,yes,200,76-100%,no,4,2,study,yes,<1 month,2,2,unemployed,friends,no,mobile,yes,yes,weekly,236,yes,yes,LPG,distance,14.2kg,584.6153846153845,Medium Risk
Person 13,Uttar Pradesh,Gorakhpur,19825,yes,50,<25%,no,6,4,study,yes,3-4 months,3,3,vendor,family,yes,mobile,yes,no,monthly,200,yes,no,LPG,cost,5kg,653.8461538461539,Medium Risk
Person_3970,Jharkhand,Ranchi,4787,no,174,0-25%,yes,5,2,study,no,1-2 months,4,1,unemployed,money-lender,no,mobile,no,no,monthly,2704,yes,no,LPG,cost,5kg,653.8461538461539,Medium Risk
Person_1289,Gujarat,Ahmedabad,11473,yes,12,76-100%,yes,2,0,not study,yes,<1 month,1,1,unemployed,savings,no,mobile,yes,no,daily,4931,no,yes,LPG,cost,14.2kg,376.92307692307696,High Risk
Person 58,Karnataka,Mangalore,4803,no,100,25-50%,no,3,0,study,no,5-6 months,2,2,labourer,savings,no,vehicle,no,yes,weekly,0,yes,no,LPG,cost,14kg,653.8461538461539,Medium Risk
Person 39,Uttar Pradesh,Gorakhpur,18528,no,50,25-50%,yes,3,1,study,yes,1-2 months,1,1,vendor,none,no,none,no,no,daily,0,yes,no,LPG,none,14kg,584.6153846153845,Medium Risk
Person 70,Uttar Pradesh,Kanpur,9698,yes,100,<25%,no,3,0,working,yes,3-4 months,3,1,cleaner,savings,no,land,no,yes,weekly,1000,no,no,LPG,none,5kg,861.5384615384615,Low Risk
Person 25,Uttar Pradesh,Lucknow,18997,yes,100,>75%,yes,5,3,study,yes,1-2 months,3,3,cleaner,savings,yes,vehicle,yes,yes,weekly,1000,yes,no,LPG,none,5kg,584.6153846153845,Medium Risk
Person_4376,Bihar,Patna,8013,no,7,0-25%,yes,2,1,not study,yes,>2 months,1,1,self-employed,money-lender,no,mobile,no,yes,daily,1950,yes,no,LPG,none,14.2kg,584.6153846153845,Medium Risk
Person 100,Karnataka,Mysuru,7716,no,100,<25%,yes,6,1,study,yes,1-2 months,1,3,security-guard,none,yes,mobile,yes,yes,monthly,0,no,yes,LPG,availability,14kg,100.0,High Risk
Person_9861,Jharkhand,Giridih,8451,no,31,76-100%,yes,8,2,not study,no,<1 month,3,5,part-time,money-lender,yes,"mobile,fan",yes,no,weekly,3440,no,no,LPG,cost,14.2kg,376.92307692307696,High Risk
Person 11,Maharashtra,Pune,17348,no,200,25-50%,no,6,1,working,no,5-6 months,1,5,vendor,none,yes,none,no,yes,weekly,1000,yes,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person 65,Karnataka,Mangalore,12541,yes,200,51-75%,no,5,2,working,no,1-2 months,3,4,daily-wager,savings,no,vehicle,no,no,monthly,500,yes,no,LPG,none,5kg,723.0769230769231,Low Risk
Person_4569,Gujarat,Vadodara,9364,no,60,51-75%,no,3,2,study,yes,>2 months,2,1,part-time,friends,no,"mobile,tv",no,yes,monthly,3400,no,no,LPG,none,5kg,861.5384615384615,Low Risk
Person_2857,Jharkhand,Jamshedpur,3065,no,166,76-100%,yes,6,4,study,no,1-2 months,3,3,self-employed,savings,yes,"mobile,tv",yes,no,monthly,805,yes,yes,LPG,none,14.2kg,100.0,High Risk
Person 69,Uttar Pradesh,Agra,14342,no,50,<25%,no,5,3,working,no,5-6 months,1,4,labourer,family,yes,none,yes,yes,monthly,1000,no,yes,LPG,availability,14kg,307.69230769230774,High Risk
Person_3188,Jharkhand,Ramgarh,8294,yes,13,51-75%,no,7,6,not study,no,<1 month,4,3,daily-wager,savings,yes,mobile,no,no,monthly,3163,yes,no,LPG,distance,5kg,792.3076923076924,Low Risk
Person_4601,Jharkhand,Hazaribagh,10004,yes,16,0-25%,yes,4,0,study,yes,1-2 months,3,1,part-time,savings,no,"mobile,tv",no,yes,monthly,1141,yes,no,LPG,cost,5kg,792.3076923076924,Low Risk
Person_9538,Jharkhand,Ranchi,14726,yes,74,26-50%,yes,8,2,study,no,>2 months,6,2,farmer,family,no,"mobile,tv",no,no,monthly,1947,no,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person_3456,Gujarat,Jamnagar,6738,no,13,0-25%,no,8,1,not study,no,>2 months,6,2,daily-wager,money-lender,no,"mobile,fan",no,yes,daily,660,no,no,LPG,availability,5kg,723.0769230769231,Low Risk
Person 43,Karnataka,Hubli,15954,yes,100,25-50%,yes,4,1,working,yes,5-6 months,1,1,vendor,none,no,land,yes,yes,daily,0,no,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person_1922,Jharkhand,Ramgarh,8669,yes,48,76-100%,no,6,0,study,yes,<1 month,2,4,part-time,family,yes,"mobile,tv",yes,no,weekly,2017,yes,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person 69,Karnataka,Bengaluru,9696,no,0,25-50%,yes,8,1,working,yes,5-6 months,3,7,daily-wager,savings,no,mobile,no,yes,monthly,0,yes,no,LPG,none,14kg,584.6153846153845,Medium Risk
Person_7357,Rajasthan,Pali,8213,yes,77,26-50%,no,7,3,not study,no,1-2 months,1,6,daily-wager,family,no,fan,no,no,weekly,4125,yes,no,LPG,cost,14.2kg,792.3076923076924,Low Risk
Person_7549,Bihar,Gaya,12353,yes,117,51-75%,yes,6,5,not study,no,1-2 months,5,1,part-time,family,yes,mobile,no,yes,daily,3233,no,yes,LPG,distance,14.2kg,446.1538461538462,Medium Risk
Person_4124,Rajasthan,Ajmer,5621,yes,155,51-75%,no,8,6,not study,yes,<1 month,2,6,self-employed,money-lender,yes,"mobile,fan",no,yes,weekly,3731,yes,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person_9767,Jharkhand,Dhanbad,13503,yes,139,26-50%,yes,6,2,not study,no,<1 month,2,4,farmer,savings,yes,"mobile,fan",no,no,weekly,4778,yes,yes,LPG,cost,14.2kg,307.69230769230774,High Risk
Person 6,Uttar Pradesh,Meerut,9137,no,0,51-75%,no,8,2,working,no,3-4 months,1,6,domestic-worker,family,no,none,yes,no,daily,0,yes,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person_2849,Bihar,Arrah,5932,no,88,51-75%,yes,5,3,not study,no,>2 months,4,1,migrant-labour,savings,no,fan,yes,no,weekly,4298,yes,yes,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person_7838,Bihar,Gaya,5216,no,84,0-25%,yes,5,2,study,no,1-2 months,2,3,farmer,money-lender,no,fan,yes,yes,daily,3055,yes,yes,LPG,none,14.2kg,376.92307692307696,High Risk
Person_7281,Rajasthan,Ajmer,4079,no,99,51-75%,yes,8,2,not study,no,<1 month,3,5,farmer,savings,yes,mobile,no,no,monthly,4962,no,no,LPG,availability,5kg,307.69230769230774,High Risk
Person 23,Uttar Pradesh,Agra,16359,no,200,51-75%,no,8,2,study,yes,1-2 months,1,6,security-guard,none,no,vehicle,no,no,weekly,200,no,yes,LPG,availability,14kg,446.1538461538462,Medium Risk
Person 26,Maharashtra,Nashik,8364,yes,50,<25%,no,4,0,study,no,1-2 months,2,2,domestic-worker,family,yes,land,yes,no,daily,1000,yes,yes,LPG,none,14kg,376.92307692307696,High Risk
Person_4846,Jharkhand,Ramgarh,3680,no,158,51-75%,no,3,1,not study,yes,>2 months,1,2,migrant-labour,friends,no,tv,no,yes,monthly,4282,yes,yes,LPG,none,5kg,515.3846153846155,Medium Risk
Person_4072,Rajasthan,Jaipur,11066,yes,108,26-50%,no,4,2,study,no,1-2 months,2,2,migrant-labour,friends,yes,tv,yes,no,monthly,41,no,no,LPG,distance,5kg,515.3846153846155,Medium Risk
Person_5590,Jharkhand,Ramgarh,11859,no,115,26-50%,no,2,1,not study,yes,1-2 months,1,1,unemployed,friends,yes,mobile,yes,yes,monthly,4395,yes,no,LPG,distance,14.2kg,653.8461538461539,Medium Risk
Person_8007,Rajasthan,Bikaner,12509,no,47,26-50%,yes,3,2,study,no,<1 month,1,2,daily-wager,savings,no,"mobile,fan",yes,yes,daily,1944,yes,no,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_9809,Gujarat,Gandhinagar,7704,yes,131,51-75%,yes,7,6,not study,yes,1-2 months,4,3,self-employed,savings,yes,fan,no,no,weekly,2742,yes,no,LPG,availability,5kg,584.6153846153845,Medium Risk
Person_5442,Gujarat,Junagadh,13679,yes,39,26-50%,no,7,4,not study,yes,1-2 months,2,5,farmer,savings,yes,mobile,yes,no,daily,4227,yes,yes,LPG,availability,5kg,446.1538461538462,Medium Risk
Person_8139,Rajasthan,Sikar,5295,no,88,26-50%,yes,7,2,study,yes,<1 month,2,5,farmer,savings,no,tv,yes,yes,monthly,287,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_8643,Jharkhand,Deoghar,12978,no,92,26-50%,yes,5,4,not study,no,1-2 months,1,4,migrant-labour,family,yes,fan,yes,no,daily,1353,yes,yes,LPG,availability,14.2kg,169.23076923076923,High Risk
Person 14,Maharashtra,Thane,10433,yes,0,51-75%,yes,4,2,working,no,5-6 months,3,3,domestic-worker,family,yes,vehicle,yes,yes,daily,0,no,no,LPG,availability,14kg,446.1538461538462,Medium Risk
Person_3857,Bihar,Gaya,14942,yes,167,51-75%,no,6,3,not study,yes,>2 months,2,4,migrant-labour,family,no,tv,no,no,weekly,1529,no,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person_7342,Rajasthan,Jaipur,5962,no,2,51-75%,yes,5,3,not study,yes,>2 months,3,2,farmer,savings,yes,"mobile,tv",no,no,weekly,3926,yes,no,LPG,none,14.2kg,515.3846153846155,Medium Risk
Person_2573,Jharkhand,Jamshedpur,6689,yes,110,51-75%,no,4,1,study,yes,>2 months,2,2,daily-wager,family,yes,none,yes,yes,daily,1957,no,no,LPG,availability,5kg,515.3846153846155,Medium Risk
Person_6266,Jharkhand,Jamshedpur,11813,yes,99,76-100%,yes,5,3,not study,yes,1-2 months,3,2,unemployed,money-lender,no,tv,yes,yes,daily,3765,yes,yes,LPG,cost,14.2kg,653.8461538461539,Medium Risk
Person_9461,Rajasthan,Kota,10335,no,122,0-25%,yes,3,1,study,yes,<1 month,2,1,migrant-labour,savings,yes,"mobile,fan",no,yes,monthly,2370,yes,yes,LPG,cost,14.2kg,446.1538461538462,Medium Risk
Person_5021,Rajasthan,Alwar,8289,yes,173,26-50%,yes,3,2,study,yes,>2 months,2,1,part-time,money-lender,no,none,no,no,monthly,3042,yes,yes,LPG,none,5kg,584.6153846153845,Medium Risk
Person 52,Uttar Pradesh,Bareilly,18270,no,100,<25%,yes,3,1,study,yes,5-6 months,3,0,daily-wager,family,yes,none,no,no,weekly,200,yes,yes,LPG,cost,14kg,376.92307692307696,High Risk
Person_2036,Bihar,Gaya,5157,yes,69,26-50%,no,5,3,study,no,1-2 months,3,2,migrant-labour,friends,yes,"mobile,tv",yes,yes,weekly,857,yes,no,LPG,availability,5kg,723.0769230769231,Low Risk
Person 2,Maharashtra,Mumbai,15210,yes,200,51-75%,yes,8,2,working,no,3-4 months,1,5,security-guard,none,yes,vehicle,no,no,monthly,500,no,yes,LPG,cost,14kg,238.46153846153848,High Risk
Person_5188,Rajasthan,Pali,9930,no,88,76-100%,yes,3,1,not study,yes,>2 months,1,2,self-employed,money-lender,no,tv,no,no,weekly,2159,yes,no,LPG,availability,5kg,584.6153846153845,Medium Risk
Person_5220,Gujarat,Junagadh,9198,yes,171,76-100%,yes,7,1,study,no,1-2 months,5,2,migrant-labour,savings,no,none,no,yes,monthly,223,yes,yes,LPG,none,5kg,584.6153846153845,Medium Risk
Person 10,Maharashtra,Thane,8098,no,200,<25%,no,5,1,working,yes,1-2 months,1,4,domestic-worker,family,yes,none,yes,yes,weekly,1000,yes,yes,LPG,none,14kg,376.92307692307696,High Risk
Person_4601,Jharkhand,Hazaribagh,10004,yes,16,0-25%,yes,4,0,study,yes,1-2 months,3,1,part-time,savings,no,"mobile,tv",no,yes,monthly,1141,yes,no,LPG,cost,5kg,792.3076923076924,Low Risk
Person_2675,Jharkhand,Dhanbad,7745,no,159,26-50%,no,4,2,not study,no,<1 month,1,3,daily-wager,money-lender,yes,"mobile,fan",no,yes,weekly,966,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_2454,Rajasthan,Udaipur,6499,yes,192,26-50%,no,7,4,not study,no,1-2 months,3,4,migrant-labour,money-lender,no,mobile,no,no,weekly,2854,no,yes,LPG,availability,5kg,446.1538461538462,Medium Risk
Person 22,Maharashtra,Pune,8926,yes,50,>75%,no,7,0,working,no,1-2 months,2,5,security-guard,family,no,mobile,yes,no,weekly,500,yes,no,LPG,availability,14kg,723.0769230769231,Low Risk
Person_5875,Bihar,Bhagalpur,6389,yes,128,26-50%,yes,2,0,study,no,<1 month,1,1,unemployed,savings,no,tv,yes,no,daily,3219,yes,no,LPG,distance,14.2kg,584.6153846153845,Medium Risk
Person_3365,Rajasthan,Alwar,7661,yes,119,0-25%,yes,2,0,not study,no,<1 month,1,1,self-employed,money-lender,yes,"mobile,tv",no,no,monthly,607,no,no,LPG,cost,5kg,307.69230769230774,High Risk
Person 98,Uttar Pradesh,Kanpur,19162,yes,100,25-50%,no,7,1,working,yes,5-6 months,3,4,vendor,none,no,none,no,yes,monthly,0,no,no,LPG,none,5kg,792.3076923076924,Low Risk
Person_9538,Jharkhand,Ranchi,14726,yes,74,26-50%,yes,8,2,study,no,>2 months,6,2,farmer,family,no,"mobile,tv",no,no,monthly,1947,no,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person_5203,Jharkhand,Ramgarh,4891,no,188,51-75%,no,8,6,study,yes,1-2 months,3,5,part-time,friends,yes,tv,yes,no,daily,4543,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_1301,Gujarat,Jamnagar,14871,no,200,76-100%,no,7,6,study,yes,1-2 months,6,1,self-employed,money-lender,yes,tv,no,yes,weekly,3811,yes,no,LPG,distance,14.2kg,792.3076923076924,Low Risk
Person 54,Uttar Pradesh,Jhansi,18471,yes,100,51-75%,yes,8,3,working,no,3-4 months,2,6,vendor,savings,yes,land,yes,yes,daily,0,no,yes,LPG,none,5kg,307.69230769230774,High Risk
Person_4734,Jharkhand,Bokaro,12578,no,183,26-50%,no,8,3,not study,no,>2 months,7,1,unemployed,friends,yes,"mobile,fan",no,yes,monthly,1148,no,no,LPG,availability,5kg,653.8461538461539,Medium Risk
Person 58,Uttar Pradesh,Jhansi,17423,no,200,25-50%,yes,7,3,study,no,5-6 months,1,6,domestic-worker,savings,no,vehicle,no,yes,weekly,0,yes,no,LPG,none,14kg,653.8461538461539,Medium Risk
Person_8139,Rajasthan,Sikar,5295,no,88,26-50%,yes,7,2,study,yes,<1 month,2,5,farmer,savings,no,tv,yes,yes,monthly,287,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person_8906,Rajasthan,Bikaner,3591,no,174,0-25%,yes,5,1,not study,yes,>2 months,1,4,self-employed,money-lender,no,tv,yes,yes,daily,959,yes,yes,LPG,cost,14.2kg,307.69230769230774,High Risk
Person_4341,Gujarat,Bhavnagar,12825,no,173,0-25%,no,5,4,study,yes,1-2 months,1,4,migrant-labour,money-lender,no,"mobile,tv",yes,yes,monthly,3318,no,no,LPG,distance,5kg,723.0769230769231,Low Risk
Person_9764,Gujarat,Surat,7167,no,200,51-75%,yes,2,1,not study,yes,>2 months,1,1,self-employed,money-lender,no,tv,no,no,monthly,2091,no,yes,LPG,distance,14.2kg,238.46153846153848,High Risk
Person 20,Uttar Pradesh,Gorakhpur,9678,no,0,>75%,no,3,0,study,no,5-6 months,2,2,cleaner,none,no,land,yes,no,weekly,1000,yes,yes,LPG,none,5kg,446.1538461538462,Medium Risk
